reference,isin,quantity,price,currency,posting_date,account_id,fund_id,settlement_status,market_value
TRD001,GB00B0YTLJ59,10000,4.52,GBP,2024-01-15,ACC001,FUND_A,SETTLED,45200.0
TRD002,US0378331005,5000,182.5,USD,2024-01-15,ACC001,FUND_A,SETTLED,912500.0
TRD003,DE0005140008,20000,10.23,EUR,2024-01-15,ACC002,FUND_B,SETTLED,204600.0
TRD004,FR0000131104,8000,65.4,EUR,2024-01-15,ACC002,FUND_B,SETTLED,523200.0
TRD005,NL0010273215,15000,22.15,EUR,2024-01-15,ACC003,FUND_C,SETTLED,332250.0
TRD006,GB00B1YW4409,25000,8.75,GBP,2024-01-17,ACC001,FUND_A,SETTLED,218750.0
TRD007,US5949181045,12000,95.3,USD,2024-01-17,ACC001,FUND_A,SETTLED,1143600.0
TRD008,DE000BAY0017,7500,55.6,EUR,2024-01-18,ACC002,FUND_B,SETTLED,417000.0
TRD009,CH0012221716,3000,420.0,CHF,2024-01-18,ACC003,FUND_C,SETTLED,1260000.0
TRD010,IT0003128367,9500,3.85,EUR,2024-01-18,ACC002,FUND_B,SETTLED,36575.0
TRD011,ES0113211835,4200,6.12,EUR,2024-01-18,ACC003,FUND_C,SETTLED,25704.0
TRD012,JP3633400001,49999,2.45,JPY,2024-01-15,ACC001,FUND_A,SETTLED,122497.55
TRD013,US88160R1014,1000,245.68,USD,2024-01-15,ACC002,FUND_B,SETTLED,245680.0
TRD014-A,GB00BH4HKS39,15000,15.8,GBP,2024-01-15,ACC003,FUND_C,SETTLED,237000.0
TRD014-B,GB00BH4HKS39,15000,15.8,GBP,2024-01-15,ACC003,FUND_C,SETTLED,237000.0
TRD015-16,US4592001014,16000,42.3,USD,2024-01-15,ACC001,FUND_A,SETTLED,676800.0
TRD017-18,DE0005552004,10000,88.5,EUR,2024-01-15,ACC002,FUND_B,SETTLED,885000.0
TRD001,GB00B0YTLJ59,10000,4.52,GBP,2024-01-15,ACC001,FUND_A,SETTLED,45200.0
TRD021,IE00B4L5Y983,11000,75.2,EUR,2024-01-15,ACC002,FUND_A,SETTLED,827200.0
TRD022,XS0149080666,500,32400.0,EUR,2024-01-15,ACC002,FUND_B,SETTLED,16200000.0
TRD024,GB00B0YTLJ59,10000,2.26,GBP,2024-01-10,ACC001,FUND_A,SETTLED,22600.0
